Time,"Personal Bankruptcies Alabama  - Bankruptcies
  - #","Personal Bankruptcies Alaska  - Bankruptcies
  - #","Personal Bankruptcies Arizona  - Bankruptcies
  - #","Personal Bankruptcies Arkansas  - Bankruptcies
  - #","Personal Bankruptcies California  - Bankruptcies
  - #","Personal Bankruptcies Colorado  - Bankruptcies
  - #","Personal Bankruptcies Connecticut  - Bankruptcies
  - #","Personal Bankruptcies Delaware  - Bankruptcies
  - #","Personal Bankruptcies Florida  - Bankruptcies
  - #","Personal Bankruptcies Georgia  - Bankruptcies
  - #","Personal Bankruptcies Hawaii  - Bankruptcies
  - #","Personal Bankruptcies Idaho  - Bankruptcies
  - #","Personal Bankruptcies Illinois  - Bankruptcies
  - #","Personal Bankruptcies Indiana  - Bankruptcies
  - #","Personal Bankruptcies Iowa  - Bankruptcies
  - #","Personal Bankruptcies Kansas  - Bankruptcies
  - #","Personal Bankruptcies Kentucky  - Bankruptcies
  - #","Personal Bankruptcies Louisiana  - Bankruptcies
  - #","Personal Bankruptcies Maine  - Bankruptcies
  - #","Personal Bankruptcies Maryland  - Bankruptcies
  - #","Personal Bankruptcies Massachusetts  - Bankruptcies
  - #","Personal Bankruptcies Minnesota  - Bankruptcies
  - #","Personal Bankruptcies Mississippi  - Bankruptcies
  - #","Personal Bankruptcies Missouri  - Bankruptcies
  - #","Personal Bankruptcies Montana  - Bankruptcies
  - #","Personal Bankruptcies Nebraska  - Bankruptcies
  - #","Personal Bankruptcies Nevada  - Bankruptcies
  - #","Personal Bankruptcies New Hampshire  - Bankruptcies
  - #","Personal Bankruptcies New Jersey  - Bankruptcies
  - #","Personal Bankruptcies New York  - Bankruptcies
  - #","Personal Bankruptcies North Carolina  - Bankruptcies
  - #","Personal Bankruptcies North Dakota  - Bankruptcies
  - #","Personal Bankruptcies Ohio  - Bankruptcies
  - #","Personal Bankruptcies Oklahoma  - Bankruptcies
  - #","Personal Bankruptcies Oregon  - Bankruptcies
  - #","Personal Bankruptcies Pennsylvania  - Bankruptcies
  - #","Personal Bankruptcies Rhode Island  - Bankruptcies
  - #","Personal Bankruptcies South Carolina  - Bankruptcies
  - #","Personal Bankruptcies South Dakota  - Bankruptcies
  - #","Personal Bankruptcies Tennessee  - Bankruptcies
  - #","Personal Bankruptcies Texas  - Bankruptcies
  - #","Personal Bankruptcies Utah  - Bankruptcies
  - #","Personal Bankruptcies Vermont  - Bankruptcies
  - #","Personal Bankruptcies Virginia  - Bankruptcies
  - #","Personal Bankruptcies Washington  - Bankruptcies
  - #","Personal Bankruptcies Washington DC  - Bankruptcies
  - #","Personal Bankruptcies West Virginia  - Bankruptcies
  - #","Personal Bankruptcies Wisconsin  - Bankruptcies
  - #","Personal Bankruptcies Wyoming  - Bankruptcies
  - #","Personal Bankruptcies Northern Mariana Islands  - Bankruptcies
  - #"
2012,27645,703,27367,12556,181166,25905,7909,2925,78492,62973,2546,6091,67196,35493,6156,8849,19498,15822,2874,23198,16272,16403,48667,39736,2006,5650,17199,3694,30481,39282,20623,945,49509,11664,14854,28255,3933,7691,1496,43466,45561,15888,976,28728,26981,827,3867,24767,1207,4635
2011,29739,942,35200,14178,207117,29247,9192,3574,89301,71602,3186,7358,71055,38603,7609,9777,16453,16935,3392,25005,19591,14407,53310,34306,2481,4831,23521,4459,36732,46933,22414,1222,50031,12714,17105,32363,4777,7717,1778,41988,36270,17818,1094,32702,24401,914,4591,26514,1322,5470
2010,33403,1039,41183,15967,251294,31416,11052,3299,108178,76825,3823,8007,80458,46380,9448,10905,24319,18408,3972,28868,23044,21474,66714,46390,2947,7625,29154,5022,39933,53761,25293,1582,68858,14440,19667,37869,5321,8964,1931,49149,54118,17810,1582,36193,32928,1190,5896,29501,1489,6300
2009,34180,892,33020,15573,200695,26888,9871,2959,92143,72137,3010,7321,71495,47290,9787,10605,24620,17905,3630,25325,20274,20594,67260,44678,2620,7235,28827,4730,34654,54102,26391,1525,68747,13615,17786,35409,4915,9358,1760,53125,50876,14155,1498,35335,30137,1066,6459,26961,1270,5825
2008,29018,812,18459,13494,126837,20168,7837,2283,62498,59311,2001,5081,54558,38459,7785,8650,20954,14949,2853,17380,16096,15742,53656,36708,1879,6451,18209,3568,25761,45257,21829,1307,56697,10760,12376,31960,4154,8233,1382,46644,41126,9029,1223,27583,21119,823,5140,20801,786,4371
2007,23572,625,10441,11453,69142,14852,5620,1696,39451,48450,1330,3721,40401,30468,6792,7810,16845,13766,2152,13342,13383,11377,45005,31827,1820,5148,10632,2652,19075,38055,19124,1147,49380,8770,9092,28979,2710,7147,1277,39062,40474,6278,830,18886,15089,677,4341,15433,757,3268
2006,19546,579,7536,9290,37171,9549,4807,1287,24679,39731,940,2878,29800,22151,4686,6188,12178,10800,1241,9267,8153,7656,33154,24241,1804,3960,5364,1713,13549,29018,16899,709,34467,6914,7540,23222,1573,6107,902,32370,34563,5222,619,12916,11535,522,2917,11167,649,2425
